,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
0,2020-07-30 00:00:00-04:00,148.86615518188475,13.434887181417421,1.0,2020-08-12 00:00:00-04:00,150.83198822021484,26.410745087467777
1,2020-08-13 00:00:00-04:00,149.49818000793456,13.38108388062433,1.0,2020-08-24 00:00:00-04:00,152.01926106262206,33.734797062626285
2,2020-08-26 00:00:00-04:00,156.2582886657715,12.805987491036827,-1.0,2020-08-27 00:00:00-04:00,154.14530906677246,27.058790313597626
3,2020-08-27 00:00:00-04:00,154.14530906677246,12.984523353040606,1.0,2020-09-02 00:00:00-04:00,156.77771195983885,34.180496839632305
4,2020-09-03 00:00:00-04:00,150.49265798950194,13.303680447129016,1.0,2020-09-09 00:00:00-04:00,150.68357720947265,2.5399282937054486
5,2020-09-10 00:00:00-04:00,147.7787346191406,13.547801043291278,1.0,2020-09-28 00:00:00-04:00,145.70254028320312,-28.127867790489326
6,2020-09-28 00:00:00-04:00,145.70254028320312,13.736444219057526,-1.0,2020-09-29 00:00:00-04:00,145.52022225952146,2.504401362431928
7,2020-09-30 00:00:00-04:00,144.8138586425781,13.820534282133538,1.0,2020-10-09 00:00:00-04:00,145.75819441223143,13.051224878338687
8,2020-10-13 00:00:00-04:00,145.54811267089843,13.752054687928293,1.0,2020-11-03 00:00:00-05:00,101.7635977935791,-602.1270430773055
9,2020-11-04 00:00:00-05:00,104.30512873077393,19.073607095248068,-1.0,2020-11-06 00:00:00-05:00,106.99551472473144,-51.315365383303906
10,2020-11-09 00:00:00-05:00,107.08844966888427,18.56753120398459,1.0,2020-11-11 00:00:00-05:00,110.85377220153809,69.91274361811621
11,2020-11-11 00:00:00-05:00,110.85377220153809,17.948739255243787,-1.0,2020-11-12 00:00:00-05:00,109.14248834991454,30.715387644500368
12,2020-11-12 00:00:00-05:00,109.14248834991454,18.23506883009134,1.0,2020-11-13 00:00:00-05:00,111.59581963348388,44.736664818903265
13,2020-11-16 00:00:00-05:00,110.55521558380126,18.00941734467977,1.0,2020-11-30 00:00:00-05:00,112.38425312805175,32.939900473495385
14,2020-12-01 00:00:00-05:00,114.10952350616455,17.453525820593807,-1.0,2020-12-02 00:00:00-05:00,113.85467721557616,4.447966313067008
15,2020-12-02 00:00:00-05:00,113.85467721557616,17.492675288732205,1.0,2020-12-04 00:00:00-05:00,115.61220023345948,30.743779464305515
16,2020-12-07 00:00:00-05:00,114.52387143707274,17.39512880096679,1.0,2020-12-16 00:00:00-05:00,115.94611738586426,24.74015146588159
17,2020-12-17 00:00:00-05:00,119.35028732299804,16.6951597775986,-1.0,2020-12-18 00:00:00-05:00,118.35309814453123,16.648232662995706
18,2020-12-21 00:00:00-05:00,116.47566564178466,17.109373877474564,1.0,2020-12-28 00:00:00-05:00,121.42805671691895,84.73231049194074
19,2020-12-28 00:00:00-05:00,121.42805671691895,16.424860971610244,-1.0,2020-12-29 00:00:00-05:00,120.77890715026854,10.662191382013987
20,2020-12-30 00:00:00-05:00,121.42021096038818,16.427023255563146,1.0,2021-01-26 00:00:00-05:00,125.11050492095947,60.62054471016891
